Date_time,FGO TK1551 Level Ctr PV - mm,FGO TK1552 Level Ctr PV - mm,FGO TK1553 Level Ctr PV - mm,FGO TK1554 Level Ctr PV - mm,FGO TK1555 Level Ctr SP - mm,TK1551 Air Blower Flow Loop PV - m3/h,TK1552 Air Blower Flow Loop PV - m3/h,TK1553 Air Blower Flow Loop PV - m3/h,TK1554 Air Blower Flow Loop PV - m3/h,TK1555 Air Blower Flow Loop PV - m3/h,FGO Mass Pull % PV - %,pH Indication for FGO - PV -  pH,FGO FLTS FD TNK DNSTY CONTROL MEAS -  %(PS),Collector Added To TK1550 PV -  m3/h,FGO FLTS FD TNK WTR FLW CONTROL MEAS -  m3/hr,PAX Flow to TK1552/3 Controller PV -  L/H,FLOW Collector to FGO TK1550 PV -  L/Hr,FROTHER  Flow 1 to TK1551/2 Controller PV -  L/H,FROTHER  Flow 2 to TK1551/2 Controller PV -  L/H,FROTHER  Flow to TK1551 Controller PV -  L/H,PROMOTER  Flow Rate- PV -  G/T,FGO CYCLONE Feed Density (%) - %,FGO Cyclone Overflow Density (%) - %,FGO CYCLONE O/F Sizing Control PV - % -150,[OV] FGO Cyclone Overflow Density Control PV - %,FGO Conc Flow Controller PV -  m3/hr,FGO Tails Flow Controller PV -  m3/hr,FLOTATION CONCENTRATE DENSITY -  %,FGO Flotation Rougher Tails Density  -  kg/m3,GT #1 bed level control PV - %,GT #2 bed level control PV - %,FLOW - m3/h,FLOW Collector to FGO Cyclone Under Flow - L/Hr,FIT5380 FGO Additional Feed To HGO Flots Flow - m3/h,Rougher to Float Flow Ctrl PV - m3/h,FLOATS R_Feed Density - kg/m3,Rougher to Flotation Feed Density  - %,Grinding Thickener 2 underflow  flow.CTRL PV - m3/h,Grinding Thickener 1 underflow  flow.CTRL PV - m3/h,TOTAL GT1 slurry feed GT1 TANK - T/H,TOTAL GT1 flow rate FEED TANK - m3/H,TOTAL GT2 slurry feed GT2 TANK - T/H,TOTAL GT2 flow rate FEED TANK - m3/H,TK2008 GT FEED MIX TANK LEVEL - %,TK2011 GT FEED MIX TANK LEVEL - %,[OV] FGO Sag Mill Feed Ctrl PV - t/h,[OV] FGO Sag Mill Motor Power - kW,[OV] FGO BM Motor Power - kW,[OV] FGO SM Feed Dilution Flow  PV - m3/h
1/10/2018,303.622221,303.3576031,303.9582317,303.5007592,309.000824,7.598246904,-5.15625,0.7421875,0.15625,-0.15625,0,6.99705531,0.031884531,494.3906555,,0.140625,0.274355502,0.011718748,0.447465537,3.129605697,0,0.006981901,42.18843239,0,0.378067883,852.8066824,,0.005217809,999.9181396,15.42499832,50.44701124,3.045912123,0.020683298,-0.137030272,1802.539167,1000.173306,0.031011178,2.837924531,1.831110597,0,2009.535327,-31.09361125,2012.374904,69.27743547,53.91193273,0.101021019,5.057575155,-16.14838324,-0.036007492
2/10/2018,303.6022471,303.3438984,283.8822491,303.4764389,309.000824,7.872897165,-5.207046981,0.710863396,0.15625,-0.143214994,0,6.846241437,0.08721174,494.3906555,,0.140625,0.096087228,0.011718748,0.484946449,1.64250065,0,0.144495521,36.28801052,0,0.397533793,857.9729933,,0.010719018,1002.084721,15.50882174,50.0622002,4.753283523,0.025793568,-0.089479556,921.9778869,1000.154922,0.153346832,86.4971805,,146.8052823,2384.687258,-28.24955108,2530.389065,69.37145573,56.53841282,0.113267254,5.282382358,-21.37200705,-0.036029339
3/10/2018,303.4709333,303.1639751,277.6245741,303.3038265,309.000824,7.679119541,-5.293080999,0.732477999,0.15625,-0.15625,0,7.373655301,20.04214538,494.3906555,33.15582123,0.140644531,0.131886449,0.011718627,0.726251341,0.814017183,0,33.90716577,26.03678203,42.75688297,21.46803679,837.5670298,405.2379158,0.030964667,1006.33748,10.73270729,50.59785194,3.978383198,0.015393487,-0.09385834,1815.61331,1000.207195,20.1222646,632.4026999,900.512034,225.7899205,577.7543572,17.7725505,1808.656149,74.11813791,67.74433749,287.7734046,1964.530526,2633.055234,89.50914829
4/10/2018,303.4443054,303.1330261,286.2194189,303.2731018,309.000824,7.82594455,-5.3125,0.7421875,0.15625,-0.15625,0,6.793540466,32.08554495,494.3906555,6.701099237,0.140625,0.140625,0.01171861,0.767478347,3.706744636,0,50.1339159,33.17984994,84.31628377,30.43208725,748.2810209,30.41478874,0.035554063,999.8974609,29.22025593,50.43234491,2.524117237,0.054981689,-0.04547474,1921.543189,1000.203857,32.09823907,492.0331884,679.4203731,425.3205085,1345.847193,254.1333891,1427.99392,75.42464215,72.8281637,417.4557574,3244.22673,4100.592779,109.8673419
5/10/2018,303.4443054,303.1330261,277.3168572,303.2731018,309.000824,8.16521259,-5.3125,0.7421875,0.15625,-0.15625,0,6.45862955,22.42005599,494.3906555,116.5489009,0.140625,0.215429688,0.01171861,0.767478347,4.866371798,0,38.28560043,26.15803783,86.97239408,23.64197764,474.1487709,622.9183731,0.035554063,1001.135271,52.71731911,52.04467054,15.95690213,0.0703125,-0.063214289,1939.8218,1000.203857,22.51999426,363.7973206,496.9109363,352.6346614,827.9920235,307.9065964,1503.264829,78.29426119,73.52885547,348.7971992,2374.385677,3127.445051,88.69118666
6/10/2018,303.4443054,303.1330261,279.3672171,303.2731018,309.000824,8.451020147,-5.3125,0.7421875,0.15625,-0.15625,0,5.697602413,32.07279922,494.3906555,286.1584388,0.140625,0.24609375,0.01171861,0.767478347,4.410887344,0,54.76035735,39.97565874,83.28866883,35.89094298,731.0237059,377.1649018,0.035554063,1003.805633,72.07011638,48.24133475,13.62878882,0.0703125,-0.022588642,2059.620605,1000.203857,32.07422754,331.4275423,838.4103093,781.5744289,2297.695746,251.3151857,1992.24192,77.23667414,71.41590394,632.3008609,3301.321515,4088.817602,149.7349784
7/10/2018,302.301396,301.7681205,290.1492913,302.2451759,308.8046053,7.83071715,-5.165943416,0.970047039,0.606623814,0.353119589,0.023484098,6.074653867,29.52613095,494.3906555,57.12495475,0.140625,2.342451012,0.01171861,1.006127696,3.737195004,0,46.45910889,33.11486562,85.89122057,29.76430544,918.3420969,1055.291923,0.043513419,999.9794368,59.56852836,48.06028937,13.74013565,3.383326181,-0.059255537,2059.620605,1000.706409,29.5223443,436.2224332,702.0714123,489.9851558,1313.533506,126.4183063,2020.314928,79.65661743,71.01192619,432.8462975,2871.664249,3896.953482,96.67577951
8/10/2018,109.7603005,281.2647773,274.260278,221.1451872,226.0516329,572.5620075,265.0099494,520.9011123,508.7531525,551.0240727,33.79577279,6.505528205,25.17003904,494.3906555,75.97728043,14.73935004,71.37423467,0.01171861,6.35232149,3.328347186,0,55.80323371,39.07114012,83.10382894,32.23035161,380.4764655,541.405085,26.18043395,1261.261675,19.99212283,37.11441604,10.37095227,199.4592355,90.06153709,1180.83324,1152.819498,25.10793187,411.167208,697.1440974,457.4202699,1594.947828,443.6565659,2064.453452,79.30775367,82.60995642,612.0798861,3232.097984,4076.569771,153.3092992
9/10/2018,110.3249567,268.9575211,247.0145181,203.6673209,207.1371757,678.2972828,349.8554079,640.7604828,690.8655341,619.3203405,38.7018993,6.64930304,27.58412476,494.3906555,42.78684542,13.93220282,66.24245994,0.011718636,8.621065941,2.164481965,0.004627124,56.9044626,38.31483585,86.33322233,34.25403774,378.2138272,376.9630688,29.01231186,1290.847295,15.71846829,47.21030468,7.076657252,187.3753281,129.6562493,900.0282989,1175.026163,27.5892861,714.5314215,480.0941188,365.8586112,850.5512879,553.4371542,1548.711828,75.81045689,75.3275465,591.0024623,3174.538529,4044.866296,151.8204833
10/10/2018,124.1529429,280.1631292,234.1928312,181.732885,202.0589878,731.4161039,302.76392,579.2677841,556.8967068,569.4520427,32.65639373,6.748523796,25.15580806,494.3906555,80.66951727,15.42753906,70.44004033,0.011718752,9.263730926,0.8509054,0.025742674,51.00810492,35.71432472,85.75922517,32.86434075,324.5899839,481.7715359,38.13966823,1269.958086,23.41992124,33.18843988,17.45761651,187.0853659,105.9037654,923.0297557,1189.506424,25.18646339,1024.986819,517.7899258,260.3135587,624.3021381,905.7329322,1634.189718,75.19304221,76.23938284,528.0312587,2739.15677,3525.848684,131.0644944
11/10/2018,178.8137635,294.1666753,284.6638926,200.9745434,197.8548068,655.083716,327.233806,543.7224698,636.7215947,446.2941075,22.04889409,6.723355159,24.05520401,494.3906555,101.763379,10.35879731,48.23803888,0.011718752,7.648744418,1.413063723,0.025742674,56.56770907,34.7275032,84.25952857,30.34517595,212.3220617,349.7867093,46.27108312,1209.096038,22.57521992,30.8884456,9.868063915,144.4325885,160.131142,646.9444814,1129.479053,24.08445915,702.1004928,717.4398535,556.4554971,1393.12881,620.1880172,2074.238331,76.12393477,75.5090082,465.1397191,2908.669125,2399.982756,126.407181
